Time [s], Analyzer Name, Decoded Protocol Result
2.096959208333333,Async Serial,6
2.097219208333333,Async Serial,:
2.097479250000000,Async Serial,0
2.097739291666667,Async Serial,0
2.097999333333334,Async Serial,' '
2.098259333333333,Async Serial,F
2.098519375000000,Async Serial,' '
2.098779416666666,Async Serial,' '
2.099039416666667,Async Serial,2
2.099299458333333,Async Serial,7
2.099559500000000,Async Serial,:
2.099819541666667,Async Serial,F
2.100079541666667,Async Serial,F
2.100339583333333,Async Serial,' '
2.100599625000000,Async Serial,F
2.100859625000000,Async Serial,\r
2.101119666666666,Async Serial,2
2.101379708333333,Async Serial,8
2.101639750000000,Async Serial,:
2.101899750000000,Async Serial,F
2.102159791666667,Async Serial,F
2.102419833333333,Async Serial,' '
2.102679833333333,Async Serial,F
2.102939875000000,Async Serial,' '
2.103199916666667,Async Serial,' '
2.103459958333334,Async Serial,2
2.103719958333333,Async Serial,9
2.103980000000000,Async Serial,:
2.104240041666666,Async Serial,F
2.104500041666667,Async Serial,F
2.104760083333333,Async Serial,' '
2.105020125000000,Async Serial,F
2.105280166666667,Async Serial,' '
2.105540166666667,Async Serial,' '
2.105800208333333,Async Serial,2
2.106060250000000,Async Serial,A
2.106320250000000,Async Serial,:
2.106580291666666,Async Serial,3
2.106840333333333,Async Serial,8
2.107100375000000,Async Serial,' '
2.107360375000000,Async Serial,N
2.107620416666667,Async Serial,' '
2.107880458333333,Async Serial,' '
2.108140458333333,Async Serial,2
2.108400500000000,Async Serial,B
2.108660541666667,Async Serial,:
2.108920583333334,Async Serial,0
2.109180583333333,Async Serial,2
2.109440625000000,Async Serial,' '
2.109700666666666,Async Serial,F
2.109960666666667,Async Serial,\r
2.110220708333333,Async Serial,2
2.110480750000000,Async Serial,C
2.110740791666667,Async Serial,:
2.111000791666667,Async Serial,8
2.111260833333333,Async Serial,1
2.111520875000000,Async Serial,' '
2.111780875000000,Async Serial,N
2.112040916666666,Async Serial,' '
2.112300958333333,Async Serial,' '
2.112560958333333,Async Serial,2
2.112821000000000,Async Serial,D
2.113081041666667,Async Serial,:
2.113341083333333,Async Serial,0
2.113601083333333,Async Serial,4
2.113861125000000,Async Serial,' '
2.114121166666667,Async Serial,N
2.114381166666667,Async Serial,' '
2.114641208333333,Async Serial,' '
2.114901250000000,Async Serial,2
2.115161291666667,Async Serial,E
2.115421291666667,Async Serial,:
2.115681333333333,Async Serial,8
2.115941375000000,Async Serial,1
2.116201375000000,Async Serial,' '
2.116461416666667,Async Serial,N
2.116721458333333,Async Serial,' '
2.116981500000000,Async Serial,' '
2.117241500000000,Async Serial,2
2.117501541666666,Async Serial,F
2.117761583333333,Async Serial,:
2.118021583333333,Async Serial,0
2.118281625000000,Async Serial,1
2.118541666666667,Async Serial,' '
2.118801708333333,Async Serial,N
2.119061708333333,Async Serial,\r
2.119321750000000,Async Serial,\r
2.119581791666667,Async Serial,>
2.123157041666667,Async Serial,A
2.123417041666666,Async Serial,T
2.123456208333333,Async Serial,A
2.123677041666667,Async Serial,E
2.123716250000000,Async Serial,T
2.123937041666667,Async Serial,0
2.123976291666667,Async Serial,E
2.124197041666667,Async Serial,\r
2.124236291666667,Async Serial,0
2.124496333333334,Async Serial,\r
2.127980750000000,Async Serial,O
2.128240750000000,Async Serial,K
2.128500791666667,Async Serial,\r
2.128760833333333,Async Serial,\r
2.129020875000000,Async Serial,>
2.131139250000000,Async Serial,A
2.131399250000000,Async Serial,T
2.131659291666667,Async Serial,L
2.131919291666667,Async Serial,0
2.132179291666667,Async Serial,\r
2.135989666666667,Async Serial,O
2.136249666666667,Async Serial,K
2.136509708333334,Async Serial,\r
2.136769750000000,Async Serial,\r
2.137029750000000,Async Serial,>
2.140239541666667,Async Serial,A
2.140499541666667,Async Serial,T
2.140759541666667,Async Serial,H
2.141019541666667,Async Serial,0
2.141279541666667,Async Serial,\r
2.145090708333333,Async Serial,O
2.145350708333333,Async Serial,K
2.145610750000000,Async Serial,\r
2.145870791666667,Async Serial,\r
2.146130791666667,Async Serial,>
2.149157791666667,Async Serial,A
2.149417791666667,Async Serial,T
2.149677791666667,Async Serial,R
2.149937791666667,Async Serial,1
2.150197833333333,Async Serial,\r
2.154035708333333,Async Serial,O
2.154295750000000,Async Serial,K
2.154555750000000,Async Serial,\r
2.154815791666667,Async Serial,\r
2.155075833333334,Async Serial,>
2.158206041666667,Async Serial,A
2.158466041666667,Async Serial,T
2.158726083333333,Async Serial,S
2.158986083333333,Async Serial,T
2.159246083333333,Async Serial,4
2.159506083333333,Async Serial,0
2.159766083333333,Async Serial,\r
2.163604791666667,Async Serial,O
2.163864833333333,Async Serial,K
2.164124875000000,Async Serial,\r
2.164384875000000,Async Serial,\r
2.164644916666667,Async Serial,>
2.167150333333333,Async Serial,A
2.167410333333333,Async Serial,T
2.167670333333333,Async Serial,T
2.167930333333334,Async Serial,A
2.168190333333333,Async Serial,3
2.168450333333333,Async Serial,0
2.168710375000000,Async Serial,\r
2.172523833333333,Async Serial,O
2.172783833333333,Async Serial,K
2.173043875000000,Async Serial,\r
2.173303916666667,Async Serial,\r
2.173563958333333,Async Serial,>
2.176354583333334,Async Serial,A
2.176614583333333,Async Serial,T
2.176874583333333,Async Serial,S
2.177134625000000,Async Serial,0
2.177394625000000,Async Serial,\r
2.181234833333333,Async Serial,O
2.181494833333333,Async Serial,K
2.181754875000000,Async Serial,\r
2.182014916666667,Async Serial,\r
2.182274916666667,Async Serial,>
2.185142833333333,Async Serial,A
2.185402833333333,Async Serial,T
2.185662875000000,Async Serial,A
2.185922875000000,Async Serial,T
2.186182875000000,Async Serial,1
2.186442875000000,Async Serial,\r
2.190231833333333,Async Serial,O
2.190491875000000,Async Serial,K
2.190751916666667,Async Serial,\r
2.191011916666667,Async Serial,\r
2.191271958333334,Async Serial,>
2.193567083333333,Async Serial,A
2.193827083333333,Async Serial,T
2.194087125000000,Async Serial,C
2.194347125000000,Async Serial,F
